Login, Увійти
Logout, Вийти
Email, Email
Password, Пароль
Forgot your password?, Забули пароль?
Create an account, Створити акаунт
Register, Зареєструватися
Full Name, Прізвище Ім'я
Full name, Прізвище Ім'я
SIGN IN, УВІЙТИ
SIGN UP, ЗАРЕЄСТРУВАТИСЯ
Order History, Історія замовлень
Account Details, Параметри акаунту
Account details, Параметри акаунту
You have not placed any orders yet, Ви ще нічого не замовляли
My Account, Мій акаунт
Already have an account?, У вас вже є акаунт?
Contact information, Контактні дані
City, Місто
Account Information, Інформація про акаунт
Address, Адреса
Postcode, Поштовий індекс
Postcode is required, Поштовий індекс обов'язковий для заповнення
Telephone is required, Телефон обов'язковий для заповнення
Telephone, Телефон
Full name is required, Прізвище та Ім'я обов'язкові для заповнення
Country is required, Країна обов'язкова для заповнення
Country, Країна
Province is required, Область обов'язкова для заповнення
Province, Область
Billing Address, Платіжна адреса
Shipping Address, Адреса доставки
Create A New Account, Створити новий акаунт
Contact, Контакт
Customer information, Інформація про замовника
Edit, Редагувати
Delete, Видалити
Edit Address, Редагувати адресу
Address has been deleted successfully!, Адресу успішно видалено!
Address has been updated successfully!, Адресу успішно оновлено!
Set as default, Встановити за замовчуванням
You have no addresses saved, У вас немає збережених адрес
Add new address, Додати нову адресу
Address has been saved successfully!, Адресу успішно збережено!
