Total, Всього
Order, Замовлення
Sku, SKU
Continue to shipping, Продовжити покупки
Continue shopping, Продовжити покупки
Continue Shopping, Продовжити Покупки
CONTINUE SHOPPING, ПРОДОВЖИТИ ПОКУПКИ
Shopping cart, Кошик
Product, Товар
Price, Ціна
Quantity, Кількість
Remove, Видалити
Qty, Кільк.
Sub total, Проміжні підсумки
Discount(${coupon}), Знижка(${coupon})
Order summary, Опис замовлення
Taxes and shipping calculated at checkout, Вартість податків та доставки розраховуються при оформленні замовлення
CHECKOUT, ОФОРМИТИ ЗАМОВЛЕННЯ
Change, Змінити
Payment Method, Спосіб оплати
Shipping Address, Адреса доставки
Shipping Method, Спосіб доставки
No payment methods available, Немає доступних способів оплати
Place Order, Розмістити замовлення
My billing address is same as shipping address, Моя платіжна адреса збігається з адресою доставки
${count} items, Позицій: ${count}
Discount, Знижка
Shipping, Доставка
No tax, Без податку
Tax, Податок
Sorry, there is no available method for your address, На жаль, для вашої адреси немає доступного способу доставки
Please enter a shipping address in order to see shipping quotes, Будь ласка, введіть адресу, щоб розрахувати вартість доставки
Continue to payment, Перейти до оплати
No payment method available, Немає доступних способів оплати
Ship to, Адреса отримувача
Shipment, Доставка
Thank you ${name}!, ${name}, дякуємо за замовлення!
Contact information, Контактні дані
Order #${orderNumber}, Замовлення #${orderNumber}
ADD TO CART, ДОДАТИ В КОШИК
Please select variant options, Будь ласка, оберіть інший варіант
VIEW CART (${count}), ПЕРЕГЛЯНУТИ КОШИК (${count})
JUST ADDED TO YOUR CART, ДОДАНО В КОШИК
Promotion code?, Є промокод?
Enter coupon code, Введіть промокод
Apply, Застосувати
Your cart is empty!, Ваш кошик порожній!
Full name, Прізвище Ім'я
Telephone, Телефон
Address, Адреса
City, Місто
Country, Країна
Postcode, Поштовий індекс
Inclusive of tax ${taxAmount}, Включаючи податок ${taxAmount}
Full name is required, Прізвище та Ім'я обов'язкові для заповнення
Telephone is required, Телефон обов'язковий для заповнення
Address is required, Адреса обов'язкова для заповнення
City is required, Місто обов'язкове для заповнення
Country is required, Країна обов'язкова для заповнення
Postcode is required, Поштовий індекс обов'язковий для заповнення
Contact, Контакт
Payment, Оплата
Your cart is empty, Ваш кошик порожній
Add some items to get started, Додайте товари, щоб почати
Your Cart, Ваш кошик
Close cart, Закрити кошик
Subtotal, Проміжна сума
View Cart (${totalQty}), Переглянути кошик (${totalQty})
Product is out of stock, Товар відсутній на складі
Cart is not initialized, Кошик не ініціалізовано
Invalid quantity, Невірна кількість
Failed to add item to cart, Не вдалося додати товар до кошика
Select shipping method, Оберіть спосіб доставки
Shipping (${method}), Доставка (${method})
Cannot add payment method: cart not initialized, Неможливо додати спосіб оплати: кошик не ініціалізовано
Failed to add payment method., Не вдалося додати спосіб оплати.
Failed to add payment method, Не вдалося додати спосіб оплати
Cannot add shipping method: cart not initialized, Неможливо додати спосіб доставки: кошик не ініціалізовано
Failed to add shipping method., Не вдалося додати спосіб доставки.
Failed to add shipping method, Не вдалося додати спосіб доставки
Cannot add shipping address: cart not initialized, Неможливо додати адресу доставки: кошик не ініціалізовано
Failed to add shipping address., Не вдалося додати адресу доставки.
Failed to add shipping address, Не вдалося додати адресу доставки
Cannot add billing address: cart not initialized, Неможливо додати платіжну адресу: кошик не ініціалізовано
Failed to add billing address., Не вдалося додати платіжну адресу.
Failed to add billing address, Не вдалося додати платіжну адресу
Cannot add contact info: cart not initialized, Неможливо додати контактну інформацію: кошик не ініціалізовано
Failed to add contact info., Не вдалося додати контактну інформацію.
Failed to add contact info, Не вдалося додати контактну інформацію
Cannot apply coupon: cart not initialized, Неможливо застосувати промокод: кошик не ініціалізовано
No coupon to remove, Немає промокоду для видалення
Failed to remove coupon., Не вдалося видалити промокод.
Failed to remove coupon, Не вдалося видалити промокод
Product not found, Товар не знайдено
Invalid cart, Невірний кошик
Requires at least one item to create a cart, Потрібен принаймні один товар для створення кошика
Too many items requested, Запитано занадто багато товарів
Some products are not available, Деякі товари недоступні
Checkout, Оформлення замовлення
Checkout success, Успішне оформлення замовлення
Billing Address, Платіжна адреса
